State Label,State Code,District,Name,Chamber,Party,GEOID
Montana,30,0,"Zinke, Ryan K.",Representative,Republican,3000
New York,36,15,"Serrano, Jose E.",Representative,Democratic,3615
Oklahoma,40,0,"Lankford, James",Senator,Republican,4000
South Carolina,45,4,"Gowdy, Trey",Representative,Republican,4504
Tennessee,47,5,"Cooper, Jim",Representative,Democratic,4705
Texas,48,14,"Weber, Randy K., Sr.",Representative,Republican,4814
Alabama,1,4,"Aderholt, Robert B.",Representative,Republican,104
California,6,9,"McNerney, Jerry",Representative,Democratic,609
California,6,18,"Eshoo, Anna G.",Representative,Democratic,618
California,6,48,"Rohrabacher, Dana",Representative,Republican,648
Georgia,13,7,"Woodall, Rob",Representative,Republican,1307
Kansas,20,0,"Roberts, Pat",Senator,Republican,2000
Kentucky,21,5,"Rogers, Harold",Representative,Republican,2105
Maine,23,2,"Poliquin, Bruce",Representative,Republican,2302
Minnesota,27,6,"Emmer, Tom",Representative,Republican,2706
Mississippi,28,1,"Kelly, Trent",Representative,Republican,2801
New York,36,9,"Clarke, Yvette D.",Representative,Democratic,3609
New York,36,16,"Engel, Eliot L.",Representative,Democratic,3616
North Carolina,37,13,"Budd, Ted",Representative,Republican,3713
Ohio,39,6,"Johnson, Bill",Representative,Republican,3906
Ohio,39,5,"Latta, Robert E.",Representative,Republican,3905
Ohio,39,13,"Ryan, Tim",Representative,Democratic,3913
Texas,48,1,"Gohmert, Louie",Representative,Republican,4801
Texas,48,4,"Ratcliffe, John",Representative,Republican,4804
Virginia,51,0,"Warner, Mark R.",Senator,Democratic,5100
California,6,46,"Correa, Lou",Representative,Democratic,646
California,6,7,"Bera, Ami",Representative,Democratic,607
California,6,27,"Chu, Judy",Representative,Democratic,627
Kentucky,21,0,"Paul, Rand",Senator,Republican,2100
Louisiana,22,6,"Graves, Garret",Representative,Republican,2206
Maryland,24,0,"Cardin, Benjamin L.",Senator,Democratic,2400
Michigan,26,5,"Kildee, Daniel T.",Representative,Democratic,2605
Nebraska,31,3,"Smith, Adrian",Representative,Republican,3103
Nebraska,31,0,"Fischer, Deb",Senator,Republican,3100
New Mexico,35,3,"Lujan, Ben Ray",Representative,Democratic,3503
New York,36,5,"Meeks, Gregory W.",Representative,Democratic,3605
North Carolina,37,9,"Pittenger, Robert",Representative,Republican,3709
North Carolina,37,4,"Price, David E.",Representative,Democratic,3704
Ohio,39,0,"Portman, Rob",Senator,Republican,3900
Pennsylvania,42,6,"Costello, Ryan A.",Representative,Republican,4206
Texas,48,18,"Jackson Lee, Sheila",Representative,Democratic,4818
Texas,48,9,"Green, Al",Representative,Democratic,4809
Texas,48,16,"O&#39;Rourke, Beto",Representative,Democratic,4816
West Virginia,54,3,"Jenkins, Evan H.",Representative,Republican,5403
Wyoming,56,0,"Enzi, Michael B.",Senator,Republican,5600
Arizona,4,1,"O'Halleran, Tom",Representative,Democratic,401
Arkansas,5,3,"Womack, Steve",Representative,Republican,503
California,6,23,"McCarthy, Kevin",Representative,Republican,623
California,6,41,"Takano, Mark",Representative,Democratic,641
California,6,31,"Aguilar, Pete",Representative,Democratic,631
Connecticut,9,1,"Larson, John B.",Representative,Democratic,901
Georgia,13,2,"Bishop, Sanford D., Jr.",Representative,Democratic,1302
Hawaii,15,1,"Hanabusa, Colleen",Representative,Democratic,1501
Illinois,17,11,"Foster, Bill",Representative,Democratic,1711
Kansas,20,2,"Jenkins, Lynn",Representative,Republican,2002
Louisiana,22,3,"Boustany, Charles W., Jr.",Representative,Republican,2203
Maine,23,0,"Collins, Susan M.",Senator,Republican,2300
Minnesota,27,7,"Peterson, Collin C.",Representative,Democratic,2707
Mississippi,28,2,"Thompson, Bennie G.",Representative,Democratic,2802
New York,36,19,"Faso, John",Representative,Republican,3619
Ohio,39,0,"Brown, Sherrod",Senator,Democratic,3900
Texas,48,20,"Castro, Joaquin",Representative,Democratic,4820
Washington,53,6,"Kilmer, Derek",Representative,Democratic,5306
Alabama,1,0,"Sessions, Jeff",Senator,Republican,100
Connecticut,9,3,"DeLauro, Rosa L.",Representative,Democratic,903
Delaware,10,0,"Carper, Thomas R.",Senator,Democratic,1000
Louisiana,22,0,"Cassidy, Bill",Senator,Republican,2200
Massachusetts,25,6,"Moulton, Seth",Representative,Democratic,2506
New York,36,4,"Rice, Kathleen M.",Representative,Democratic,3604
New York,36,0,"Schumer, Charles E.",Senator,Democratic,3600
North Carolina,37,1,"Butterfield, G. K.",Representative,Democratic,3701
Ohio,39,2,"Wenstrup, Brad R.",Representative,Republican,3902
Oklahoma,40,2,"Mullin, Markwayne",Representative,Republican,4002
Pennsylvania,42,8,"Fitzpatrick, Michael G.",Representative,Republican,4208
Vermont,50,0,"Leahy, Patrick J.",Senator,Democratic,5000
Vermont,50,0,"Sanders, Bernard",Senator,Independent,5000
Virginia,51,9,"Griffith, H. Morgan",Representative,Republican,5109
Virginia,51,1,"Wittman, Robert J.",Representative,Republican,5101
Washington,53,0,"Murray, Patty",Senator,Democratic,5300
California,6,20,"Panetta, Jimmy",Representative,Democratic,620
California,6,51,"Vargas, Juan",Representative,Democratic,651
Colorado,8,7,"Perlmutter, Ed",Representative,Democratic,807
Florida,12,0,"Nelson, Bill",Senator,Democratic,1200
Florida,12,19,"Rooney, Francis",Representative,Republican,1219
Florida,12,4,"Rutherford, John",Representative,Republican,1204
Illinois,17,1,"Rush, Bobby L.",Representative,Democratic,1701
Indiana,18,5,"Brooks, Susan W.",Representative,Republican,1805
Maine,23,1,"Pingree, Chellie",Representative,Democratic,2301
Maryland,24,0,"Van Hollen, Chris",Senator,Democratic,2400
Massachusetts,25,8,"Lynch, Stephen F.",Representative,Democratic,2508
Massachusetts,25,1,"Neal, Richard E.",Representative,Democratic,2501
Michigan,26,2,"Lewis, Jason",Representative,Republican,2602
Missouri,29,7,"Long, Billy",Representative,Republican,2907
New York,36,1,"Zeldin, Lee M.",Representative,Republican,3601
North Carolina,37,2,"Holding, George",Representative,Republican,3702
North Dakota,38,0,"Heitkamp, Heidi",Senator,Democratic,3800
Ohio,39,4,"Jordan, Jim",Representative,Republican,3904
Oregon,41,0,"Wyden, Ron",Senator,Democratic,4100
Oregon,41,3,"Blumenauer, Earl",Representative,Democratic,4103
Virgin Islands,Virgin Islands,0,"Plaskett, Stacey E.",Representative,Democratic,Virgin Islands00
